,prec_FileName,prec_AverageValues,prec_MedianValues,prec_MinValues,prec_MaxValues,prec_Variance,prec_StandardDeviation,tmax_AverageValues,tmax_MedianValues,tmax_MinValues,tmax_MaxValues,tmax_Variance,tmax_StandardDeviation,tmin_AverageValues,tmin_MedianValues,tmin_MinValues,tmin_MaxValues,tmin_Variance,tmin_StandardDeviation,WET_Date,WET,WET_Fixed
0,01-1961,124.33631,124.66623,92.4534,193.78226,236.60847,15.382083,16.486372,17.463238,7.8405175,18.887201,4.5772715,2.1394558,3.5688818,3.9408116,-2.3698158,5.3515205,1.3757778,1.1729356,,,
1,02-1961,48.05422,46.615837,36.605957,69.4179,54.18629,7.3611336,15.536664,16.603575,5.5173254,18.514977,6.590564,2.5672092,3.5014627,4.147435,-4.1759176,5.0961666,2.636834,1.6238331,,,
2,03-1961,37.08085,36.371494,24.608969,55.250587,56.91543,7.5442314,22.634838,23.56911,12.680821,25.82047,6.3331714,2.5165794,9.606311,10.297916,1.1725218,11.751247,3.6561692,1.9121112,,,
3,04-1961,101.93873,98.14343,58.204906,190.75137,777.16315,27.877645,27.623022,28.878399,16.42789,31.155895,9.358387,3.059148,13.917492,14.778236,5.8521895,16.238865,3.9865487,1.9966344,,,
4,05-1961,20.18084,18.558178,13.218128,39.532806,28.99652,5.3848414,34.080776,35.551315,22.026114,37.80142,11.455166,3.3845482,19.007034,20.036194,10.216407,21.547274,5.3451924,2.3119671,,,
5,06-1961,59.290382,56.76938,29.79851,108.77059,244.91293,15.649694,37.50619,38.954292,26.05016,40.91991,9.887729,3.144476,22.821423,23.734165,14.6654625,25.42208,4.5264816,2.127553,,,
6,07-1961,222.5297,223.15051,136.2245,287.2635,862.1493,29.36238,33.595894,34.606613,24.934797,36.28228,5.6795573,2.3831823,23.248419,24.234577,15.329043,25.815813,4.7872396,2.1879761,,,
7,08-1961,161.08685,165.33139,96.79685,196.06091,497.19507,22.29787,32.021122,32.998924,23.968094,34.759445,5.3535643,2.313777,22.374144,23.349308,14.784313,25.05157,4.677718,2.1628034,,,
8,09-1961,116.29561,118.15537,80.17716,170.25285,249.2684,15.788237,32.95858,34.039078,23.749996,35.954433,6.5264626,2.5546942,20.867016,21.76305,13.382907,23.391056,4.202386,2.049972,,,
9,10-1961,47.9534,45.385155,29.014713,96.55537,154.00807,12.409999,29.020134,30.105446,19.367922,32.12892,7.1240406,2.6690898,13.425385,13.974932,7.341679,15.48437,2.218078,1.4893212,,,
10,11-1961,25.056744,24.08401,9.177214,44.791473,88.55305,9.410263,21.954063,22.948877,13.330737,24.563667,5.425299,2.3292272,5.372384,5.610333,0.64699674,7.3646708,0.97134966,0.9855707,,,
11,12-1961,20.782578,20.650234,6.734806,42.097332,61.574406,7.846936,16.35582,17.264065,8.247421,18.61041,4.27935,2.0686588,1.859157,2.0578148,-3.021625,3.9146943,0.901168,0.9492987,,,
12,01-1962,23.85124,24.377361,14.877523,37.033863,15.242817,3.904205,15.322414,16.306774,6.5781913,17.7872,4.73975,2.1770966,2.2637084,2.6395445,-3.7114825,4.041625,1.3992735,1.1829089,,,
13,02-1962,70.98477,69.763885,47.71799,102.52714,121.47977,11.021786,18.335379,19.396183,8.438333,21.310808,6.408081,2.5314188,5.8452473,6.439198,-1.7795635,7.513875,2.6113212,1.6159583,,,
14,03-1962,39.74557,38.314453,29.873405,59.92731,40.155937,6.336871,22.634981,23.649166,12.931341,25.620298,5.9570093,2.4406986,9.451798,10.2354965,1.2351956,11.513747,3.4383156,1.8542696,,,
15,04-1962,63.302784,58.81659,22.457005,152.81087,778.55096,27.902527,27.935556,29.141823,16.59473,31.681608,9.784094,3.1279535,14.982109,15.840866,6.9938564,17.239733,3.857741,1.9641134,,,
16,05-1962,29.104755,26.88496,20.935438,53.880093,44.337494,6.6586404,33.034943,34.550026,20.663092,37.086315,12.306667,3.508086,18.721443,19.635075,9.828212,21.379044,5.4940166,2.343932,,,
17,06-1962,47.078537,45.35726,21.325806,86.808876,181.08385,13.456739,37.410778,38.849495,25.849812,40.90168,10.063204,3.1722553,22.82882,23.76233,14.506782,25.527113,4.7834544,2.187111,,,
18,07-1962,175.2232,173.3998,89.07919,267.94855,1627.7303,40.34514,33.51416,34.55416,24.622297,36.294064,6.0699053,2.4637177,23.482376,24.495485,15.57887,26.019981,4.737262,2.176525,,,
19,08-1962,185.12167,186.55438,112.671326,221.43361,530.96045,23.04258,32.074913,33.11064,23.947088,34.82368,5.328044,2.3082557,22.910463,23.888325,15.438132,25.378305,4.371214,2.0907447,,,
20,09-1962,153.7261,156.771,105.124794,233.12833,483.2733,21.983477,30.071636,31.145948,20.828989,33.114506,6.5189714,2.5532277,18.66424,19.56305,11.132733,21.187756,4.2642717,2.0650113,,,
21,10-1962,11.222016,11.548281,5.803229,16.229794,5.226,2.2860446,28.423155,29.42809,19.05577,31.607046,6.647782,2.5783293,13.351218,13.866236,7.412513,15.501038,2.0891912,1.4454035,,,
22,11-1962,24.996855,23.838768,11.533186,41.974777,61.522633,7.8436365,21.730484,22.611723,12.964071,24.5095,5.725865,2.392878,7.2261696,7.386425,2.5254688,9.585504,1.0152849,1.0076134,,,
23,12-1962,50.10875,48.557747,32.469593,78.06441,79.12243,8.895079,16.849327,17.782608,8.568081,19.289576,4.608498,2.1467414,2.5136013,2.7085168,-2.221625,4.518861,0.82979447,0.9109306,,,
24,01-1963,2.254252,2.0840087,1.1606244,4.735025,0.59891325,0.77389485,16.68033,17.695362,7.6231565,19.248138,5.159966,2.271556,2.7120416,3.0628333,-3.4251978,4.2036037,1.5019128,1.2255255,,,
25,02-1963,42.52281,42.27263,21.092325,69.88937,125.664314,11.21001,19.664858,20.715256,9.717672,22.689976,6.515294,2.5525074,7.1763234,7.8115034,-0.42574406,8.8446045,2.5949543,1.6108862,,,
26,03-1963,125.15678,119.51132,59.619198,239.41151,1704.8013,41.289238,22.323902,23.277546,12.530994,25.364569,6.0584044,2.4613826,9.586554,10.334852,1.3473485,11.596212,3.4110227,1.8468955,,,
27,04-1963,79.22383,76.2864,46.636635,144.0991,420.39664,20.503576,26.90563,28.113026,15.769557,30.514229,9.365941,3.0603826,13.522874,14.336229,5.5938563,15.794767,3.854514,1.9632916,,,
28,05-1963,69.19986,63.910263,50.72461,124.36306,218.6817,14.78789,31.44814,32.904884,19.392952,35.24274,11.462827,3.3856797,17.040194,18.112026,8.258073,19.568974,5.319321,2.3063653,,,
29,06-1963,30.342094,29.085892,17.838478,50.86769,43.937504,6.628537,38.007652,39.476044,26.429152,41.576683,10.1978655,3.1934097,23.62014,24.530367,15.336295,26.347946,4.7720184,2.184495,,,
30,07-1963,82.641205,82.65587,46.456562,109.62764,146.43755,12.101138,34.224052,35.32345,25.138964,37.018196,6.278261,2.5056458,23.981264,24.95611,15.816196,26.619982,5.0832276,2.2546015,,,
31,08-1963,130.96944,130.91951,75.71428,171.56493,423.1346,20.570236,32.000744,33.00952,23.809414,34.933575,5.6995,2.3873625,22.661333,23.593182,15.125632,25.35157,4.631244,2.1520326,,,
32,09-1963,68.06465,68.964294,47.150448,96.91075,69.08833,8.311939,31.579689,32.63546,22.278814,34.61537,6.539917,2.557326,19.277573,20.149979,11.620233,21.938625,4.425184,2.1036122,,,
33,10-1963,8.194897,7.7829623,3.721113,18.633379,9.055584,3.0092497,30.15187,31.21981,20.64761,33.30548,7.0006166,2.6458678,14.801461,15.31427,8.712859,16.974476,2.3107877,1.5201275,,,
34,11-1963,32.681625,31.352093,14.751303,56.48097,113.777245,10.666641,23.106073,24.043812,14.455912,25.827728,5.563217,2.3586473,7.74978,7.959318,2.9716494,9.849566,1.0364138,1.0180441,,,
35,12-1963,50.72499,50.3665,26.10301,89.382835,162.62526,12.7524605,17.654503,18.568905,9.627109,19.96718,4.2915716,2.071611,3.0763793,3.2310371,-1.5759654,5.4287567,0.8433028,0.9183152,,,
36,01-1964,89.63918,87.261,66.87404,139.81364,139.8608,11.826276,12.782795,13.726484,4.140517,15.248139,4.5981765,2.144336,0.4886736,0.80524266,-5.1989827,2.247354,1.2108455,1.1003842,,,
37,02-1964,52.690746,50.848824,20.57938,97.95258,325.74133,18.048306,16.241352,17.28942,6.284513,19.270878,6.4784327,2.5452766,4.305455,4.8991547,-3.220883,5.8446045,2.4636877,1.5696138,,,
38,03-1964,41.6162,39.95088,22.837801,75.18639,146.52625,12.104802,23.54206,24.486057,13.476829,26.72377,6.498594,2.549234,10.875513,11.645203,2.3846748,12.975379,3.6637998,1.9141054,,,
39,04-1964,78.21982,72.80408,33.072144,177.90503,925.9578,30.429556,27.50455,28.656643,16.09473,31.368221,10.115676,3.180515,14.497041,15.35257,6.3521895,16.915602,4.1820526,2.0450068,,,
40,05-1964,27.90105,25.546528,16.554312,59.70045,76.49422,8.746098,32.301403,33.780136,19.871946,36.391968,12.626307,3.5533514,17.709326,18.742558,8.824913,20.444841,5.5868506,2.363652,,,
41,06-1964,59.77879,56.84945,23.884342,124.80198,424.55005,20.604612,36.3405,37.753464,24.899986,39.65741,9.704406,3.1151896,22.027082,22.924759,13.915635,24.451244,4.393144,2.0959828,,,
42,07-1964,308.4346,313.0724,193.01323,416.05444,2327.8816,48.248127,32.289093,33.3527,23.392784,34.978115,5.9578376,2.4408681,22.449009,23.461529,14.3995285,24.96078,4.9145546,2.2168794,,,
43,08-1964,169.43326,174.39825,112.29189,203.41997,453.28625,21.29052,32.456303,33.48797,24.376602,35.09104,5.3005915,2.3023014,22.623066,23.577864,15.025632,25.180737,4.59245,2.1430004,,,
44,09-1964,72.91868,74.307465,54.514053,100.44871,52.444157,7.2418337,31.57809,32.644966,22.270308,34.634468,6.66032,2.5807595,19.955732,20.851524,12.3619,22.563623,4.3789277,2.0925887,,,
45,10-1964,7.851511,7.366817,3.60292,16.104174,6.5313473,2.55565,28.811453,29.881508,19.305944,31.909649,6.95276,2.6368086,13.045974,13.592497,7.0125127,15.122912,2.20253,1.4840922,,,
46,11-1964,4.668938,4.4697986,2.1999547,7.98783,2.3529038,1.5339178,22.452984,23.42387,13.910078,25.061062,5.3727045,2.3179095,5.5812035,5.7772512,0.8923092,7.6776915,0.9956295,0.99781233,,,
47,12-1964,64.49347,63.885048,31.382072,109.62058,265.02258,16.279514,16.636862,17.505041,8.526761,18.977077,4.365343,2.0893404,2.6426988,2.8123627,-2.1297848,4.8704233,0.87047577,0.93299294,,,
48,01-1965,73.626434,72.40665,48.145874,119.45767,237.76051,15.419485,16.411406,17.360172,7.798851,18.82314,4.6103926,2.1471825,3.9019723,4.2668476,-2.148809,5.8931875,1.4957335,1.2230018,,,
49,02-1965,96.86904,96.5299,52.625168,154.86842,671.9896,25.922762,16.538574,17.556538,6.216978,19.848309,7.3261538,2.706687,4.997886,5.6223297,-2.7345982,6.589316,2.6726997,1.6348393,,,
50,03-1965,56.54072,54.397095,31.56078,98.59552,254.73529,15.960429,21.906645,22.726418,11.735161,25.282103,6.843295,2.6159692,9.241485,9.996937,0.67252195,11.47208,3.8318603,1.9575138,,,
51,04-1965,128.55455,123.03882,81.0192,227.18384,886.3834,29.772192,24.631147,25.871096,13.54855,28.08107,9.099902,3.0166044,11.214609,12.03334,3.1521897,13.498066,3.9432623,1.985765,,,
52,05-1965,89.46938,82.21335,58.72155,174.64134,543.7826,23.319147,31.829493,33.31693,19.726114,35.595345,11.620364,3.4088655,16.853249,17.844168,8.137066,19.319841,5.2159576,2.283847,,,
53,06-1965,25.045156,23.913269,17.523567,37.196762,19.656397,4.4335537,37.096226,38.544132,25.579327,40.51418,9.907376,3.1475985,22.504688,23.41724,14.315288,24.947947,4.5005713,2.121455,,,
54,07-1965,219.58376,218.85321,135.84117,312.61188,1452.5797,38.112724,32.525963,33.58728,23.672123,35.186447,5.905287,2.4300797,22.35873,23.361528,14.320189,24.936647,4.929648,2.2202811,,,
55,08-1965,136.0189,135.93187,82.122604,181.05524,455.399,21.34008,30.637201,31.653507,22.597261,33.343643,5.241078,2.28934,21.26734,22.236122,13.746639,23.853306,4.4925404,2.1195614,,,
56,09-1965,34.194042,34.40844,22.04295,48.581203,44.646378,6.6817946,31.443682,32.537067,22.237495,34.424793,6.401266,2.5300725,18.889275,19.73376,11.22874,21.605291,4.4429646,2.107834,,,
57,10-1965,32.32166,29.476952,14.933985,74.30222,134.21103,11.584949,29.826143,30.90675,20.426603,32.77215,6.6670876,2.5820704,14.541843,15.0763,8.362686,16.717703,2.366112,1.5382172,,,
58,11-1965,18.032171,17.80157,9.157053,28.588867,25.659126,5.065484,23.651943,24.641201,15.014592,26.275126,5.4664626,2.3380468,8.354989,8.572954,3.5801563,10.467795,1.0278722,1.0138403,,,
59,12-1965,18.180569,17.535946,9.547914,31.95025,26.746254,5.171678,16.692417,17.642868,8.539262,19.033848,4.396485,2.0967796,1.3957194,1.5953332,-3.3717985,3.3396943,0.84303695,0.91817045,,,
60,01-1966,2.3669724,2.1978738,1.2885913,4.897218,0.6123989,0.7825592,17.4812,18.499313,9.036003,19.509596,4.216867,2.0535011,3.673396,4.0308776,-2.3038437,5.487979,1.4166261,1.1902211,,,
61,02-1966,143.05174,142.08337,85.958725,219.35323,846.9405,29.102242,19.43326,20.486328,9.617672,22.318274,6.2747607,2.5049472,7.6905947,8.306078,0.20376992,9.275333,2.4622293,1.5691493,,,
62,03-1966,128.98743,124.1864,54.35622,246.68971,2015.4303,44.893543,21.566645,22.461334,11.568321,24.747034,6.4902277,2.5475926,9.826311,10.609442,1.4473484,11.868608,3.5727754,1.8901787,,,
63,04-1966,73.37653,69.39889,46.715183,132.07834,299.99918,17.320484,26.102608,27.292334,14.765217,29.630548,9.661849,3.1083515,12.964505,13.74275,4.7688565,15.142163,4.1194677,2.029647,,,
64,05-1966,38.444202,34.78515,21.491547,85.300644,164.1589,12.812451,32.92571,34.45739,20.538786,36.78545,12.266348,3.5023346,18.49797,19.500572,9.603907,20.917238,5.4229736,2.328728,,,
65,06-1966,37.81234,37.86043,20.921333,66.88398,83.690895,9.1482725,37.65085,39.10988,26.15016,41.091785,9.914315,3.1487005,22.717915,23.648071,14.565462,25.24708,4.478789,2.116315,,,
66,07-1966,170.07204,174.34569,82.880264,239.22832,1106.4565,33.263443,32.991726,34.082138,24.009798,35.719067,6.0735545,2.4644582,22.608418,23.605854,14.5493555,25.15748,4.91963,2.218024,,,
67,08-1966,129.07292,130.09659,81.84934,160.56065,324.18094,18.005026,32.056683,33.071495,23.776255,34.93531,5.6543074,2.3778787,22.689941,23.627874,15.234139,25.178307,4.336255,2.0823677,,,
68,09-1966,120.57687,122.14125,74.450096,203.15494,484.41827,22.009504,30.352467,31.42598,21.020481,33.437813,6.7776184,2.603386,18.379517,19.26305,10.9744,20.887756,4.119025,2.0295382,,,
69,10-1966,53.75658,47.658073,17.603703,140.13524,634.5099,25.18948,27.810654,28.906292,18.172785,30.930481,7.1060653,2.6657205,13.197502,13.722226,7.2545266,15.137441,2.0724258,1.4395922,,,
70,11-1966,2.0909743,1.8815122,0.62832695,4.617214,1.0226457,1.0112594,22.490137,23.48116,13.764419,25.087626,5.5515304,2.3561685,5.93985,6.168253,1.2591493,7.9646707,0.93864274,0.9688358,,,
71,12-1966,11.158596,11.099865,5.291354,19.61069,7.996628,2.827831,16.64235,17.546576,8.455928,18.992182,4.446298,2.1086247,2.2274902,2.3737955,-2.4799585,4.3855276,0.8232324,0.9073216,,,
72,01-1967,9.061307,8.928486,3.2321646,19.041452,10.99176,3.3153825,14.679601,15.708595,5.765691,17.148659,4.931639,2.2207294,1.7623541,2.0994878,-4.1616564,3.3390207,1.3131851,1.1459429,,,
73,02-1967,86.78181,85.29455,41.73203,151.36067,654.64307,25.585993,18.494095,19.558956,8.43434,21.609072,6.7897534,2.6057155,6.6976085,7.302537,-0.6755705,8.238292,2.3458915,1.5316303,,,
74,03-1967,114.57376,109.92328,79.9241,181.02861,432.1904,20.78919,21.241577,22.214714,11.147661,24.367867,6.536459,2.55665,8.2260685,8.914375,-0.10681826,10.198644,3.4761658,1.8644478,,,
75,04-1967,61.95839,59.49135,32.977867,116.549805,331.31796,18.20214,26.291529,27.483063,15.22789,29.839401,9.171115,3.028385,12.780893,13.608021,4.8938565,14.938864,3.738036,1.9334,,,
76,05-1967,62.228096,55.10134,19.033735,166.2502,953.2944,30.875465,31.70682,33.21559,19.451286,35.65368,12.084842,3.476326,17.526653,18.581202,8.828907,19.989807,5.1768217,2.275263,,,
77,06-1967,28.072247,27.024225,9.701291,56.317245,104.009964,10.198527,37.452686,38.870766,25.795992,40.92564,10.195786,3.1930842,23.018295,23.941385,14.736295,25.552113,4.6772814,2.1627023,,,
78,07-1967,72.726364,74.6987,44.998325,88.84309,83.16798,9.119648,33.784504,34.86225,24.872124,36.4991,5.972846,2.4439406,23.515676,24.493073,15.553349,26.037516,4.793958,2.189511,,,
79,08-1967,165.73586,169.76077,97.133095,203.09766,560.58057,23.676582,31.384459,32.37833,23.297262,34.139477,5.3612213,2.315431,22.085115,23.051613,14.64664,24.577438,4.3730187,2.0911765,,,
