,prec_FileName,prec_AverageValues,prec_MedianValues,prec_MinValues,prec_MaxValues,prec_Variance,prec_StandardDeviation
0,01-1961,124.33631,124.66623,92.4534,193.78226,236.60847,15.382083
1,02-1961,48.05422,46.615837,36.605957,69.4179,54.18629,7.3611336
2,03-1961,37.08085,36.371494,24.608969,55.250587,56.91543,7.5442314
3,04-1961,101.93873,98.14343,58.204906,190.75137,777.16315,27.877645
4,05-1961,20.18084,18.558178,13.218128,39.532806,28.99652,5.3848414
5,06-1961,59.290382,56.76938,29.79851,108.77059,244.91293,15.649694
6,07-1961,222.5297,223.15051,136.2245,287.2635,862.1493,29.36238
7,08-1961,161.08685,165.33139,96.79685,196.06091,497.19507,22.29787
8,09-1961,116.29561,118.15537,80.17716,170.25285,249.2684,15.788237
9,10-1961,47.9534,45.385155,29.014713,96.55537,154.00807,12.409999
10,11-1961,25.056744,24.08401,9.177214,44.791473,88.55305,9.410263
11,12-1961,20.782578,20.650234,6.734806,42.097332,61.574406,7.846936
12,01-1962,23.85124,24.377361,14.877523,37.033863,15.242817,3.904205
13,02-1962,70.98477,69.763885,47.71799,102.52714,121.47977,11.021786
14,03-1962,39.74557,38.314453,29.873405,59.92731,40.155937,6.336871
15,04-1962,63.302784,58.81659,22.457005,152.81087,778.55096,27.902527
16,05-1962,29.104755,26.88496,20.935438,53.880093,44.337494,6.6586404
17,06-1962,47.078537,45.35726,21.325806,86.808876,181.08385,13.456739
18,07-1962,175.2232,173.3998,89.07919,267.94855,1627.7303,40.34514
19,08-1962,185.12167,186.55438,112.671326,221.43361,530.96045,23.04258
20,09-1962,153.7261,156.771,105.124794,233.12833,483.2733,21.983477
21,10-1962,11.222016,11.548281,5.803229,16.229794,5.226,2.2860446
22,11-1962,24.996855,23.838768,11.533186,41.974777,61.522633,7.8436365
23,12-1962,50.10875,48.557747,32.469593,78.06441,79.12243,8.895079
24,01-1963,2.254252,2.0840087,1.1606244,4.735025,0.59891325,0.77389485
25,02-1963,42.52281,42.27263,21.092325,69.88937,125.664314,11.21001
26,03-1963,125.15678,119.51132,59.619198,239.41151,1704.8013,41.289238
27,04-1963,79.22383,76.2864,46.636635,144.0991,420.39664,20.503576
28,05-1963,69.19986,63.910263,50.72461,124.36306,218.6817,14.78789
29,06-1963,30.342094,29.085892,17.838478,50.86769,43.937504,6.628537
30,07-1963,82.641205,82.65587,46.456562,109.62764,146.43755,12.101138
31,08-1963,130.96944,130.91951,75.71428,171.56493,423.1346,20.570236
32,09-1963,68.06465,68.964294,47.150448,96.91075,69.08833,8.311939
33,10-1963,8.194897,7.7829623,3.721113,18.633379,9.055584,3.0092497
34,11-1963,32.681625,31.352093,14.751303,56.48097,113.777245,10.666641
35,12-1963,50.72499,50.3665,26.10301,89.382835,162.62526,12.7524605
36,01-1964,89.63918,87.261,66.87404,139.81364,139.8608,11.826276
37,02-1964,52.690746,50.848824,20.57938,97.95258,325.74133,18.048306
38,03-1964,41.6162,39.95088,22.837801,75.18639,146.52625,12.104802
39,04-1964,78.21982,72.80408,33.072144,177.90503,925.9578,30.429556
40,05-1964,27.90105,25.546528,16.554312,59.70045,76.49422,8.746098
41,06-1964,59.77879,56.84945,23.884342,124.80198,424.55005,20.604612
42,07-1964,308.4346,313.0724,193.01323,416.05444,2327.8816,48.248127
43,08-1964,169.43326,174.39825,112.29189,203.41997,453.28625,21.29052
44,09-1964,72.91868,74.307465,54.514053,100.44871,52.444157,7.2418337
45,10-1964,7.851511,7.366817,3.60292,16.104174,6.5313473,2.55565
46,11-1964,4.668938,4.4697986,2.1999547,7.98783,2.3529038,1.5339178
47,12-1964,64.49347,63.885048,31.382072,109.62058,265.02258,16.279514
48,01-1965,73.626434,72.40665,48.145874,119.45767,237.76051,15.419485
49,02-1965,96.86904,96.5299,52.625168,154.86842,671.9896,25.922762
50,03-1965,56.54072,54.397095,31.56078,98.59552,254.73529,15.960429
51,04-1965,128.55455,123.03882,81.0192,227.18384,886.3834,29.772192
52,05-1965,89.46938,82.21335,58.72155,174.64134,543.7826,23.319147
53,06-1965,25.045156,23.913269,17.523567,37.196762,19.656397,4.4335537
54,07-1965,219.58376,218.85321,135.84117,312.61188,1452.5797,38.112724
55,08-1965,136.0189,135.93187,82.122604,181.05524,455.399,21.34008
56,09-1965,34.194042,34.40844,22.04295,48.581203,44.646378,6.6817946
57,10-1965,32.32166,29.476952,14.933985,74.30222,134.21103,11.584949
58,11-1965,18.032171,17.80157,9.157053,28.588867,25.659126,5.065484
59,12-1965,18.180569,17.535946,9.547914,31.95025,26.746254,5.171678
60,01-1966,2.3669724,2.1978738,1.2885913,4.897218,0.6123989,0.7825592
61,02-1966,143.05174,142.08337,85.958725,219.35323,846.9405,29.102242
62,03-1966,128.98743,124.1864,54.35622,246.68971,2015.4303,44.893543
63,04-1966,73.37653,69.39889,46.715183,132.07834,299.99918,17.320484
64,05-1966,38.444202,34.78515,21.491547,85.300644,164.1589,12.812451
65,06-1966,37.81234,37.86043,20.921333,66.88398,83.690895,9.1482725
66,07-1966,170.07204,174.34569,82.880264,239.22832,1106.4565,33.263443
67,08-1966,129.07292,130.09659,81.84934,160.56065,324.18094,18.005026
68,09-1966,120.57687,122.14125,74.450096,203.15494,484.41827,22.009504
69,10-1966,53.75658,47.658073,17.603703,140.13524,634.5099,25.18948
70,11-1966,2.0909743,1.8815122,0.62832695,4.617214,1.0226457,1.0112594
71,12-1966,11.158596,11.099865,5.291354,19.61069,7.996628,2.827831
72,01-1967,9.061307,8.928486,3.2321646,19.041452,10.99176,3.3153825
73,02-1967,86.78181,85.29455,41.73203,151.36067,654.64307,25.585993
74,03-1967,114.57376,109.92328,79.9241,181.02861,432.1904,20.78919
75,04-1967,61.95839,59.49135,32.977867,116.549805,331.31796,18.20214
76,05-1967,62.228096,55.10134,19.033735,166.2502,953.2944,30.875465
77,06-1967,28.072247,27.024225,9.701291,56.317245,104.009964,10.198527
78,07-1967,72.726364,74.6987,44.998325,88.84309,83.16798,9.119648
79,08-1967,165.73586,169.76077,97.133095,203.09766,560.58057,23.676582
80,09-1967,69.285614,69.42061,41.851048,111.989265,170.14076,13.043801
81,10-1967,37.43275,34.323135,20.679228,80.99153,128.33397,11.328459
82,11-1967,13.90451,13.1305065,6.4404078,25.789917,25.30001,5.0299115
83,12-1967,133.79825,130.58487,95.63605,188.5209,264.27805,16.25663
84,01-1968,74.56558,73.23639,54.836647,117.92326,87.72416,9.3661175
85,02-1968,57.368484,55.091103,40.89145,79.794174,63.29519,7.955827
86,03-1968,65.72556,63.424934,40.070736,107.57012,228.07347,15.102101
87,04-1968,59.856983,58.216255,24.165932,126.873375,503.32547,22.434916
88,05-1968,43.16621,39.176273,21.914906,95.83696,240.55582,15.509862
89,06-1968,24.299288,24.283195,15.554124,35.67533,10.577746,3.2523448
90,07-1968,118.95758,122.50087,72.02695,158.69778,360.04712,18.974907
91,08-1968,198.01962,199.67871,123.71278,243.59431,707.392,26.596842
92,09-1968,10.137931,10.06185,6.199231,16.511732,5.284036,2.2987032
93,10-1968,36.159462,32.658638,14.849112,88.59878,221.39215,14.879252
94,11-1968,24.123232,23.14209,7.75068,45.446728,102.964355,10.147136
95,12-1968,36.067413,35.417103,22.842428,54.63129,47.585926,6.8982553
96,01-1969,40.40179,40.661438,18.956099,76.41954,119.91334,10.950495
97,02-1969,78.548996,77.45973,42.122543,131.02028,389.40643,19.733383
98,03-1969,60.7425,57.53965,32.441166,112.51397,327.00607,18.08331
99,04-1969,94.57509,88.43887,46.780357,199.94493,947.05023,30.774181
100,05-1969,60.074425,55.253822,37.808292,120.82167,281.26743,16.771029
101,06-1969,27.062841,26.061913,11.011433,50.824753,67.43674,8.2119875
102,07-1969,158.61679,163.60896,97.29989,205.89594,522.0571,22.84857
103,08-1969,90.664665,92.26838,53.475243,108.971214,128.27922,11.326042
104,09-1969,65.12095,65.07035,49.01185,91.98872,55.426376,7.444889
105,10-1969,45.7329,41.51478,18.246744,114.6988,381.17932,19.523815
106,11-1969,6.1697927,6.075326,2.8699176,10.584555,3.8482156,1.961687
107,12-1969,1.8477451,1.6562421,1.0211419,3.6968036,0.42454666,0.65157247
108,01-1970,49.051445,48.222176,33.962845,78.102425,48.73244,6.9808626
109,02-1970,50.62727,48.789345,40.873188,66.982124,25.71825,5.0713162
110,03-1970,55.818783,53.709465,29.46146,99.65382,252.62886,15.894302
111,04-1970,41.482807,37.972454,11.926405,103.56477,416.2047,20.401096
112,05-1970,24.4028,21.781006,10.910508,59.7582,102.90984,10.144449
113,06-1970,65.65439,66.54007,36.590565,111.83733,210.16942,14.497221
114,07-1970,169.52943,169.86386,91.18415,245.80399,1157.981,34.029118
115,08-1970,168.2795,173.84784,110.46026,207.92609,584.48663,24.176159
116,09-1970,141.59409,142.74576,85.616585,209.40025,555.67096,23.572674
117,10-1970,32.99282,28.975384,6.4947467,99.212036,384.65927,19.612732
118,11-1970,1.0367708,0.92606556,0.4939257,2.2129562,0.15793507,0.39741045
119,12-1970,12.486561,12.538657,6.2297034,19.74898,13.142583,3.6252701
120,01-1971,8.130767,7.8164005,5.287009,13.732147,2.3151002,1.5215453
121,02-1971,89.04098,85.96468,34.23576,166.84326,1122.215,33.499477
122,03-1971,25.087574,23.241297,11.690554,49.836884,87.61352,9.360209
123,04-1971,66.63308,63.60855,34.541943,133.02133,403.5334,20.08814
124,05-1971,21.615557,21.16565,13.444174,37.500202,15.766436,3.9706972
125,06-1971,69.26225,68.79567,38.89845,120.85957,244.01694,15.621041
126,07-1971,145.12047,143.65501,87.29969,202.1394,611.93384,24.737297
127,08-1971,139.80707,142.88498,90.70282,169.25458,372.92825,19.31135
128,09-1971,65.9711,65.4852,49.660656,92.086876,50.319916,7.093653
129,10-1971,6.785338,6.160613,3.0474472,16.627705,7.063236,2.657675
130,11-1971,6.3109655,6.0191154,2.8870015,10.6513815,3.82323,1.9553082
131,12-1971,7.554212,7.3100343,3.9218836,12.4571705,4.048926,2.0121944
132,01-1972,77.82429,77.42598,56.225605,122.80106,156.64426,12.51576
133,02-1972,75.25459,73.82675,41.257156,117.756325,316.5119,17.790781
134,03-1972,95.167206,90.15911,33.641018,202.06218,1491.7345,38.62298
135,04-1972,51.110455,48.63108,30.063477,94.96209,185.43246,13.617359
136,05-1972,53.81885,48.1727,18.908516,138.35684,611.5571,24.729681
137,06-1972,56.724327,53.92925,33.51632,93.22913,146.46371,12.10222
138,07-1972,150.02641,151.70769,63.33809,235.52567,1609.316,40.11628
139,08-1972,173.89035,173.54445,111.94253,227.69579,774.8633,27.836367
140,09-1972,100.076164,100.19014,64.88332,143.61487,213.92445,14.626157
141,10-1972,28.652546,25.835531,12.094079,68.91264,124.2649,11.147417
142,11-1972,14.191592,14.012602,9.512067,19.972023,5.7043395,2.388376
143,12-1972,58.651802,58.190636,42.39019,79.05226,64.73655,8.045902
144,01-1973,95.81648,95.270096,41.757244,190.92567,820.9613,28.652422
145,02-1973,86.36102,84.68467,41.97719,150.33853,687.7723,26.225412
146,03-1973,117.29099,108.59719,38.322784,261.7074,2952.4126,54.33611
