,tmax_FileName,tmax_AverageValues,tmax_MedianValues,tmax_MinValues,tmax_MaxValues,tmax_Variance,tmax_StandardDeviation
0,01-1961,16.486372,17.463238,7.8405175,18.887201,4.5772715,2.1394558
1,02-1961,15.536664,16.603575,5.5173254,18.514977,6.590564,2.5672092
2,03-1961,22.634838,23.56911,12.680821,25.82047,6.3331714,2.5165794
3,04-1961,27.623022,28.878399,16.42789,31.155895,9.358387,3.059148
4,05-1961,34.080776,35.551315,22.026114,37.80142,11.455166,3.3845482
5,06-1961,37.50619,38.954292,26.05016,40.91991,9.887729,3.144476
6,07-1961,33.595894,34.606613,24.934797,36.28228,5.6795573,2.3831823
7,08-1961,32.021122,32.998924,23.968094,34.759445,5.3535643,2.313777
8,09-1961,32.95858,34.039078,23.749996,35.954433,6.5264626,2.5546942
9,10-1961,29.020134,30.105446,19.367922,32.12892,7.1240406,2.6690898
10,11-1961,21.954063,22.948877,13.330737,24.563667,5.425299,2.3292272
11,12-1961,16.35582,17.264065,8.247421,18.61041,4.27935,2.0686588
12,01-1962,15.322414,16.306774,6.5781913,17.7872,4.73975,2.1770966
13,02-1962,18.335379,19.396183,8.438333,21.310808,6.408081,2.5314188
14,03-1962,22.634981,23.649166,12.931341,25.620298,5.9570093,2.4406986
15,04-1962,27.935556,29.141823,16.59473,31.681608,9.784094,3.1279535
16,05-1962,33.034943,34.550026,20.663092,37.086315,12.306667,3.508086
17,06-1962,37.410778,38.849495,25.849812,40.90168,10.063204,3.1722553
18,07-1962,33.51416,34.55416,24.622297,36.294064,6.0699053,2.4637177
19,08-1962,32.074913,33.11064,23.947088,34.82368,5.328044,2.3082557
20,09-1962,30.071636,31.145948,20.828989,33.114506,6.5189714,2.5532277
21,10-1962,28.423155,29.42809,19.05577,31.607046,6.647782,2.5783293
22,11-1962,21.730484,22.611723,12.964071,24.5095,5.725865,2.392878
23,12-1962,16.849327,17.782608,8.568081,19.289576,4.608498,2.1467414
24,01-1963,16.68033,17.695362,7.6231565,19.248138,5.159966,2.271556
25,02-1963,19.664858,20.715256,9.717672,22.689976,6.515294,2.5525074
26,03-1963,22.323902,23.277546,12.530994,25.364569,6.0584044,2.4613826
27,04-1963,26.90563,28.113026,15.769557,30.514229,9.365941,3.0603826
28,05-1963,31.44814,32.904884,19.392952,35.24274,11.462827,3.3856797
29,06-1963,38.007652,39.476044,26.429152,41.576683,10.1978655,3.1934097
30,07-1963,34.224052,35.32345,25.138964,37.018196,6.278261,2.5056458
31,08-1963,32.000744,33.00952,23.809414,34.933575,5.6995,2.3873625
32,09-1963,31.579689,32.63546,22.278814,34.61537,6.539917,2.557326
33,10-1963,30.15187,31.21981,20.64761,33.30548,7.0006166,2.6458678
34,11-1963,23.106073,24.043812,14.455912,25.827728,5.563217,2.3586473
35,12-1963,17.654503,18.568905,9.627109,19.96718,4.2915716,2.071611
36,01-1964,12.782795,13.726484,4.140517,15.248139,4.5981765,2.144336
37,02-1964,16.241352,17.28942,6.284513,19.270878,6.4784327,2.5452766
38,03-1964,23.54206,24.486057,13.476829,26.72377,6.498594,2.549234
39,04-1964,27.50455,28.656643,16.09473,31.368221,10.115676,3.180515
40,05-1964,32.301403,33.780136,19.871946,36.391968,12.626307,3.5533514
41,06-1964,36.3405,37.753464,24.899986,39.65741,9.704406,3.1151896
42,07-1964,32.289093,33.3527,23.392784,34.978115,5.9578376,2.4408681
43,08-1964,32.456303,33.48797,24.376602,35.09104,5.3005915,2.3023014
44,09-1964,31.57809,32.644966,22.270308,34.634468,6.66032,2.5807595
45,10-1964,28.811453,29.881508,19.305944,31.909649,6.95276,2.6368086
46,11-1964,22.452984,23.42387,13.910078,25.061062,5.3727045,2.3179095
47,12-1964,16.636862,17.505041,8.526761,18.977077,4.365343,2.0893404
48,01-1965,16.411406,17.360172,7.798851,18.82314,4.6103926,2.1471825
49,02-1965,16.538574,17.556538,6.216978,19.848309,7.3261538,2.706687
50,03-1965,21.906645,22.726418,11.735161,25.282103,6.843295,2.6159692
51,04-1965,24.631147,25.871096,13.54855,28.08107,9.099902,3.0166044
52,05-1965,31.829493,33.31693,19.726114,35.595345,11.620364,3.4088655
53,06-1965,37.096226,38.544132,25.579327,40.51418,9.907376,3.1475985
54,07-1965,32.525963,33.58728,23.672123,35.186447,5.905287,2.4300797
55,08-1965,30.637201,31.653507,22.597261,33.343643,5.241078,2.28934
56,09-1965,31.443682,32.537067,22.237495,34.424793,6.401266,2.5300725
57,10-1965,29.826143,30.90675,20.426603,32.77215,6.6670876,2.5820704
58,11-1965,23.651943,24.641201,15.014592,26.275126,5.4664626,2.3380468
59,12-1965,16.692417,17.642868,8.539262,19.033848,4.396485,2.0967796
60,01-1966,17.4812,18.499313,9.036003,19.509596,4.216867,2.0535011
61,02-1966,19.43326,20.486328,9.617672,22.318274,6.2747607,2.5049472
62,03-1966,21.566645,22.461334,11.568321,24.747034,6.4902277,2.5475926
63,04-1966,26.102608,27.292334,14.765217,29.630548,9.661849,3.1083515
64,05-1966,32.92571,34.45739,20.538786,36.78545,12.266348,3.5023346
65,06-1966,37.65085,39.10988,26.15016,41.091785,9.914315,3.1487005
66,07-1966,32.991726,34.082138,24.009798,35.719067,6.0735545,2.4644582
67,08-1966,32.056683,33.071495,23.776255,34.93531,5.6543074,2.3778787
68,09-1966,30.352467,31.42598,21.020481,33.437813,6.7776184,2.603386
69,10-1966,27.810654,28.906292,18.172785,30.930481,7.1060653,2.6657205
70,11-1966,22.490137,23.48116,13.764419,25.087626,5.5515304,2.3561685
71,12-1966,16.64235,17.546576,8.455928,18.992182,4.446298,2.1086247
72,01-1967,14.679601,15.708595,5.765691,17.148659,4.931639,2.2207294
73,02-1967,18.494095,19.558956,8.43434,21.609072,6.7897534,2.6057155
74,03-1967,21.241577,22.214714,11.147661,24.367867,6.536459,2.55665
75,04-1967,26.291529,27.483063,15.22789,29.839401,9.171115,3.028385
76,05-1967,31.70682,33.21559,19.451286,35.65368,12.084842,3.476326
77,06-1967,37.452686,38.870766,25.795992,40.92564,10.195786,3.1930842
78,07-1967,33.784504,34.86225,24.872124,36.4991,5.972846,2.4439406
79,08-1967,31.384459,32.37833,23.297262,34.139477,5.3612213,2.315431
80,09-1967,31.642397,32.73038,22.408329,34.64042,6.541708,2.5576763
81,10-1967,27.300726,28.4085,17.664278,30.446106,7.2050085,2.6842146
82,11-1967,22.23177,23.18721,13.514244,24.869396,5.5544806,2.3567946
83,12-1967,16.841896,17.704542,8.835269,19.046349,4.1421466,2.0352263
84,01-1968,13.703526,14.681559,4.969684,16.168972,4.718729,2.1722636
85,02-1968,15.004892,16.052126,5.2471857,17.910809,6.1544237,2.480811
86,03-1968,22.061296,23.00784,12.109987,25.246166,6.4557147,2.5408099
87,04-1968,27.414413,28.637398,16.09473,31.102442,9.678099,3.1109643
88,05-1968,30.876263,32.380974,18.559446,34.820343,12.157967,3.4868276
89,06-1968,37.563797,38.97415,25.937311,41.09491,10.193018,3.1926506
90,07-1968,33.466625,34.524757,24.572124,36.196342,6.01719,2.452996
91,08-1968,31.635742,32.651024,23.517921,34.41951,5.3762584,2.318676
92,09-1968,32.760006,33.8655,23.366663,35.837814,6.8314466,2.6137037
93,10-1968,27.94739,29.03571,18.326603,31.09819,7.0851345,2.6617916
94,11-1968,22.463783,23.423239,13.814245,25.010021,5.4672728,2.33822
95,12-1968,16.222176,17.133636,7.868602,18.630617,4.7062163,2.1693816
96,01-1969,14.796025,15.759775,6.0158644,17.333035,4.815003,2.1943114
97,02-1969,16.50597,17.55212,6.4221864,19.593273,6.776026,2.60308
98,03-1969,24.650986,25.451752,14.564328,27.814568,6.617822,2.5725129
99,04-1969,26.572016,27.663265,15.00289,30.489056,10.488282,3.2385616
100,05-1969,31.846333,33.33571,19.64278,35.70368,11.870525,3.4453628
101,06-1969,36.982304,38.42374,25.34582,40.42824,10.096642,3.1775212
102,07-1969,33.801033,34.875168,24.830456,36.53903,6.0892444,2.4676394
103,08-1969,32.275536,33.306896,24.084763,34.967773,5.393976,2.3224936
104,09-1969,31.52542,32.605446,22.24965,34.535336,6.534636,2.5562935
105,10-1969,29.449438,30.542133,19.893444,32.52319,6.9038153,2.6275113
106,11-1969,23.337187,24.270123,14.610251,26.043951,5.5475645,2.355327
107,12-1969,18.426132,19.319595,10.164435,20.74114,4.532122,2.128878
108,01-1970,15.859738,16.846897,7.2198577,18.356472,4.604202,2.1457403
109,02-1970,18.284718,19.332542,8.630173,21.052475,5.9376073,2.4367206
110,03-1970,21.88543,22.848066,12.043147,24.944603,6.1251597,2.474906
111,04-1970,29.720522,30.92141,18.386223,33.41423,9.769731,3.1256568
112,05-1970,35.46821,36.975433,23.14278,39.28701,12.057847,3.472441
113,06-1970,37.675114,39.123695,26.171165,41.271473,10.230821,3.1985655
114,07-1970,33.655304,34.752113,24.638964,36.346592,6.0883303,2.4674542
115,08-1970,32.98179,33.92183,25.018269,35.716217,5.172876,2.2743957
116,09-1970,32.248997,33.323654,23.00833,35.313633,6.5742435,2.5640287
117,10-1970,30.158154,31.233345,20.656116,33.236214,6.9555964,2.6373465
118,11-1970,23.59354,24.584244,15.089418,26.03502,5.233438,2.2876709
119,12-1970,17.80141,18.671713,9.664435,20.086973,4.3855143,2.094162
120,01-1971,15.31481,16.278671,6.861524,17.587202,4.3063293,2.0751698
121,02-1971,17.902636,18.922745,8.37184,20.69501,5.811201,2.4106433
122,03-1971,23.680637,24.660923,14.085161,26.585402,5.723566,2.3923976
123,04-1971,29.891148,31.131819,18.678064,33.405376,9.456686,3.0751724
124,05-1971,34.638695,36.161446,22.317606,38.73381,12.464182,3.530465
125,06-1971,37.093243,38.490067,25.795818,40.564182,9.827179,3.134833
126,07-1971,33.127907,34.148697,24.405283,35.758842,5.7289715,2.393527
127,08-1971,32.08123,33.085125,23.926428,34.856144,5.4612074,2.3369226
128,09-1971,30.805593,31.86391,21.324995,33.99875,6.970649,2.6401987
129,10-1971,29.169924,30.269684,19.697437,31.944546,6.650664,2.5788882
130,11-1971,23.989273,24.95946,15.326745,26.587626,5.4880066,2.3426495
131,12-1971,18.85568,19.802639,10.897943,21.04114,4.1548467,2.0383441
132,01-1972,15.70908,16.689247,7.3408647,18.033035,4.16199,2.0400956
133,02-1972,14.043885,15.091139,4.1346865,17.073307,6.471568,2.5439277
134,03-1972,22.018833,22.865555,11.947661,25.21943,6.7514133,2.5983481
135,04-1972,26.891531,28.124283,15.657057,30.455894,9.46072,3.0758283
136,05-1972,32.842304,34.30775,20.559446,36.89465,12.128148,3.4825492
137,06-1972,37.206226,38.63064,25.516653,40.79231,10.378615,3.2215858
138,07-1972,33.20256,34.312477,24.06813,36.018196,6.33883,2.5177033
139,08-1972,31.357899,32.43216,23.01393,34.15267,5.7209296,2.3918464
140,09-1972,30.866426,31.94595,21.620481,33.914505,6.5364776,2.5566535
141,10-1972,28.200895,29.284868,18.759764,31.084648,6.692732,2.5870314
142,11-1972,24.043785,25.047625,15.530738,26.576166,5.246294,2.290479
143,12-1972,17.295265,18.157799,9.318254,19.55364,4.1778593,2.0439813
144,01-1973,14.7349825,15.708594,6.0818367,17.23564,4.6512804,2.1566827
145,02-1973,18.330032,19.382652,8.5970125,21.139107,6.099938,2.4698052
146,03-1973,21.238209,22.140501,11.047315,24.542868,6.841164,2.615562
147,04-1973,28.823164,30.001274,17.42355,32.47239,9.8789215,3.1430752
148,05-1973,34.24637,35.781242,21.83028,38.1976,12.39097,3.520081
149,06-1973,38.741123,40.180832,27.300333,42.138138,9.888764,3.1446407
150,07-1973,33.32051,34.35179,24.62629,36.000507,5.7756066,2.4032493
151,08-1973,31.634703,32.581738,23.709763,34.30716,5.1660523,2.272895
152,09-1973,32.557087,33.636963,23.30833,35.558647,6.588584,2.5668237
153,10-1973,28.955341,30.052639,19.439104,31.965378,6.947278,2.635769
154,11-1973,24.186317,25.196625,15.568411,26.696999,5.32177,2.3068962
155,12-1973,17.316376,18.250568,9.468776,19.51041,3.9757583,1.9939303
156,01-1974,15.104947,16.06625,6.386698,17.535639,4.7163258,2.1717103
157,02-1974,14.870066,15.878639,4.8273945,17.883205,6.711033,2.5905662
158,03-1974,24.112825,25.079706,13.963808,27.418736,6.750974,2.5982637
159,04-1974,29.67976,30.917439,18.457058,33.239403,9.404582,3.066689
160,05-1974,33.663105,35.206306,21.334274,37.560104,12.22055,3.4957902
161,06-1974,36.1397,37.60888,24.59148,39.67095,10.075408,3.1741784
162,07-1974,33.284504,34.36225,24.372124,35.9991,5.972846,2.4439406
163,08-1974,32.39123,33.442657,24.022436,35.24278,5.6892924,2.3852239
164,09-1974,31.560003,32.60141,22.095829,34.71125,6.902307,2.6272242
165,10-1974,28.163847,29.233086,18.635458,31.236212,6.9790673,2.6417925
166,11-1974,22.646423,23.639908,14.092717,25.238146,5.268205,2.295257
167,12-1974,15.342347,16.235167,6.8932548,17.858847,4.85035,2.202351
168,01-1975,14.692414,15.680343,5.7155175,17.259077,5.0637627,2.2502806
169,02-1975,15.063294,16.109982,5.1383324,18.089975,6.488273,2.5472088
170,03-1975,20.600048,21.53255,10.760161,23.72377,6.1730103,2.4845543
171,04-1975,26.773369,27.987896,15.52789,30.48161,9.608139,3.0996997
172,05-1975,33.306923,34.80739,20.83028,37.339268,12.612026,3.5513415
173,06-1975,36.035397,37.46823,24.5295,39.50741,10.02492,3.1662154
174,07-1975,32.19829,33.21148,23.534798,34.892178,5.6845827,2.3842363
175,08-1975,31.689947,32.693947,23.768095,34.324547,5.023202,2.24125
176,09-1975,31.003925,32.070793,21.808329,34.014503,6.4432855,2.5383627
177,10-1975,29.817808,30.901146,20.256117,32.926315,7.020889,2.6496959
178,11-1975,21.68653,22.668835,12.893585,24.426167,5.6889687,2.385156
179,12-1975,17.716724,18.589798,9.422769,20.168745,4.622351,2.1499653
180,01-1976,16.320572,17.283617,7.5073576,18.956472,4.8706746,2.2069604
181,02-1976,16.24694,17.269117,6.242846,19.350044,6.6125197,2.571482
182,03-1976,20.172514,21.020042,10.076828,23.468735,6.7159824,2.5915213
183,04-1976,26.988686,28.199001,15.757057,30.61857,9.510469,3.083905
184,05-1976,33.827477,35.276634,21.54278,37.745342,12.112705,3.4803312
185,06-1976,35.725636,37.171356,24.170818,39.266785,10.145763,3.1852415
186,07-1976,33.840233,34.87121,25.134798,36.561447,5.7971897,2.4077353
187,08-1976,30.532032,31.469988,22.701256,33.148823,5.0450497,2.2461188
188,09-1976,31.245522,32.325985,21.941143,34.314503,6.6319227,2.575252
189,10-1976,28.882427,29.970875,19.272783,32.027878,7.1318464,2.6705518
190,11-1976,22.531631,23.42506,13.765286,25.391869,5.7331476,2.3943992
191,12-1976,17.379467,18.250206,9.355928,19.586973,4.2038307,2.0503244
192,01-1977,14.29842,15.257491,5.5280175,16.9122,4.838991,2.1997707
193,02-1977,17.396837,18.443096,7.497013,20.320704,6.468698,2.5433636
194,03-1977,24.97081,25.906387,15.052002,28.142,6.375212,2.5249183
195,04-1977,28.339828,29.566284,17.21973,31.859734,9.252354,3.041768
196,05-1977,32.15255,33.61622,19.934273,36.037975,11.984217,3.4618227
197,06-1977,36.835323,38.276,25.441652,40.211056,9.685426,3.1121416
198,07-1977,33.387768,34.396538,24.67247,36.061447,5.740799,2.3959963
199,08-1977,31.956856,32.93435,23.897263,34.73618,5.3030353,2.3028321
200,09-1977,31.44785,32.5808,22.262148,34.434467,6.4965696,2.548837
201,10-1977,29.641975,30.72651,19.993444,33.031525,7.3263288,2.7067192
202,11-1977,24.12854,25.063404,15.197751,26.930334,5.9237795,2.4338815
203,12-1977,17.926237,18.782862,9.401762,20.63541,5.018808,2.2402697
204,01-1978,14.617795,15.550189,5.545031,17.353867,5.3763323,2.318692
205,02-1978,17.07267,18.147831,7.0136795,20.17001,6.6915216,2.5867975
206,03-1978,20.02668,20.971445,9.930647,23.394604,6.6897326,2.5864518
207,04-1978,28.262745,29.481388,17.027891,31.971714,9.554983,3.0911136
208,05-1978,36.340572,37.86017,23.938787,40.305935,12.369184,3.516985
209,06-1978,38.358032,39.799694,26.816998,41.880848,10.03251,3.1674137
210,07-1978,32.06114,33.042583,23.59834,34.64478,5.3607397,2.3153272
211,08-1978,31.950293,32.913967,23.909761,34.735313,5.380696,2.3196328
212,09-1978,31.918196,33.028793,22.76215,34.8553,6.4114943,2.5320928
213,10-1978,29.396763,30.470398,19.876778,32.508087,6.9485254,2.6360056
214,11-1978,22.375587,23.259178,13.785078,25.048563,5.4498634,2.3344944
215,12-1978,18.517624,19.374863,10.364435,21.025515,4.4352016,2.1059918
216,01-1979,16.375643,17.363235,7.7490244,18.866367,4.525178,2.1272466
217,02-1979,17.479614,18.525517,7.788506,20.368448,5.9794445,2.4452903
218,03-1979,20.48984,21.418625,10.784814,23.673077,5.946781,2.4386022
219,04-1979,29.300386,30.541008,18.040043,32.923275,9.5369425,3.0881941
220,05-1979,30.830742,32.354675,18.48896,34.847603,12.333072,3.5118473
221,06-1979,37.31185,38.743935,25.73766,40.80168,10.0546665,3.1709094
222,07-1979,34.328182,35.387283,25.492783,36.998947,5.8918147,2.4273062
223,08-1979,31.433453,32.496582,23.243095,34.207012,5.3649015,2.3162258
224,09-1979,30.87254,31.94595,21.649649,33.914505,6.4995337,2.5494182
225,10-1979,29.998884,31.073498,20.751604,32.92163,6.433819,2.5364974
226,11-1979,23.853264,24.826647,15.155911,26.469397,5.5162196,2.3486633
227,12-1979,18.126793,18.99039,10.118255,20.39739,4.166174,2.0411208
228,01-1980,14.925747,15.89458,6.403191,17.32314,4.599887,2.1447346
229,02-1980,16.85899,17.859648,7.10552,19.853344,6.228431,2.4956825
230,03-1980,20.618277,21.477375,10.780822,23.783838,6.1805935,2.48608
231,04-1980,29.680592,30.903807,18.386223,33.31857,9.608711,3.0997922
232,05-1980,34.58977,36.062008,22.192606,38.545345,12.359186,3.5155635
233,06-1980,37.56185,39.030266,26.079327,41.070953,9.925324,3.1504483
234,07-1980,33.469296,34.493034,24.755457,36.161446,5.7511597,2.3981576
235,08-1980,31.633974,32.64736,23.455595,34.439476,5.452516,2.3350623
236,09-1980,31.176634,32.24913,21.970655,34.143024,6.452635,2.5402038
237,10-1980,29.216385,30.282969,19.788929,32.29246,6.7491,2.597903
238,11-1980,23.69566,24.661592,15.268412,26.180332,5.099911,2.2582984
239,12-1980,18.154848,19.078995,10.018254,20.479681,4.3894615,2.0951042
240,01-1981,15.655747,16.647789,7.186177,18.107513,4.480761,2.1167808
241,02-1981,17.691734,18.726227,7.8760056,20.670877,6.2672048,2.5034385
242,03-1981,21.83852,22.78944,12.205821,25.00884,5.885936,2.4260948
243,04-1981,28.692608,29.936337,17.42789,32.26963,9.579775,3.0951211
244,05-1981,34.41755,35.875137,22.213614,38.27451,11.89657,3.4491405
245,06-1981,36.701332,38.135323,25.066826,40.272514,10.212355,3.1956775
246,07-1981,32.455826,33.509384,23.651464,35.10024,5.7574534,2.3994694
247,08-1981,31.547443,32.57219,23.305769,34.418644,5.5644855,2.3589163
248,09-1981,31.614239,32.675957,22.278814,34.70396,6.6525655,2.5792568
249,10-1981,27.70253,28.783585,18.13511,30.956524,7.101296,2.6648257
250,11-1981,22.648506,23.618599,14.080912,25.269396,5.409894,2.325918
251,12-1981,17.516863,18.451351,9.397595,19.977077,4.413823,2.1009102
252,01-1982,16.268698,17.266533,7.598851,18.656473,4.4984946,2.1209655
253,02-1982,15.012566,15.98625,5.1760054,17.958378,6.3045506,2.5108864
254,03-1982,19.17866,20.075111,9.572661,22.28297,5.874368,2.4237096
255,04-1982,27.57667,28.82095,16.431885,31.121714,9.226319,3.0374856
256,05-1982,31.751612,33.22979,19.817606,35.418007,11.092005,3.330466
257,06-1982,36.615986,38.082634,25.029152,40.10168,10.094135,3.177127
258,07-1982,34.188915,35.285324,25.22195,36.875507,6.061586,2.4620287
259,08-1982,31.487375,32.54145,23.426428,34.28288,5.2424726,2.2896447
260,09-1982,30.858616,31.901411,21.416489,34.072838,6.885308,2.623987
261,10-1982,28.3985,29.477901,18.814102,31.504961,6.9422646,2.6348178
262,11-1982,21.73517,22.586792,12.947926,24.58041,5.731084,2.3939683
263,12-1982,16.677244,17.582073,8.293255,19.094786,4.743613,2.1779838
264,01-1983,15.384878,16.380903,6.5988507,17.897097,4.7860417,2.1877024
265,02-1983,17.38885,18.432264,7.6593394,20.212543,6.024534,2.4544926
266,03-1983,19.47595,20.351194,9.480821,22.68957,6.5167255,2.5527878
267,04-1983,24.907679,26.148853,13.86105,28.360235,9.033306,3.0055459
268,05-1983,32.41248,33.92999,20.317606,36.284157,11.710858,3.4221132
269,06-1983,35.6706,37.10154,24.04981,39.191784,10.150856,3.1860409
270,07-1983,32.97763,34.0527,24.051464,35.65728,5.9743304,2.4442444
271,08-1983,31.90793,32.84852,24.030422,34.465343,4.9869523,2.2331486
272,09-1983,32.1807,33.264606,22.84965,35.171146,6.6773024,2.5840476
273,10-1983,28.509785,29.603458,18.98893,31.531525,6.852207,2.6176722
274,11-1983,23.950798,24.941465,15.4307375,26.399605,5.153896,2.2702193
275,12-1983,17.27127,18.133238,9.268428,19.58489,4.267112,2.0656989
276,01-1984,15.257275,16.255121,6.9363503,17.487202,4.128763,2.031936
277,02-1984,15.283296,16.291672,5.5176725,18.250914,6.177865,2.485531
278,03-1984,24.101507,25.05552,14.089328,27.414568,6.5400386,2.55735
279,04-1984,27.789272,29.03141,16.44855,31.508171,9.779707,3.1272523
280,05-1984,35.49321,37.026787,22.988613,39.53059,12.598581,3.549448
281,06-1984,38.932686,40.413033,27.479324,42.322517,9.796222,3.1298916
282,07-1984,32.592422,33.606613,23.946949,35.269783,5.6820917,2.383714
283,08-1984,32.0896,33.074013,24.147436,34.68774,5.1257653,2.2640152
284,09-1984,29.84917,30.923653,20.60833,32.913635,6.575088,2.5641935
285,10-1984,28.525827,29.602787,18.997437,31.61642,6.9589043,2.6379735
286,11-1984,22.39927,23.349472,13.926744,25.027208,5.1907787,2.278328
287,12-1984,16.612278,17.456867,8.243428,19.225513,4.7974296,2.1903036
288,01-1985,15.666407,16.621094,6.807358,18.256474,4.9856257,2.2328515
289,02-1985,19.605587,20.698639,9.684512,22.531643,6.3833795,2.526535
290,03-1985,24.1497,25.099194,14.172314,27.432104,6.4407864,2.5378704
291,04-1985,28.72254,29.976355,17.661049,32.21598,9.035633,3.005933
292,05-1985,34.063904,35.55819,21.6841,38.022255,12.3127775,3.5089567
293,06-1985,37.602264,39.08593,26.020645,41.10012,10.092315,3.1768403
294,07-1985,33.45308,34.438065,24.897123,36.079678,5.4992332,2.3450444
295,08-1985,31.847134,32.82862,23.797262,34.56031,5.270879,2.2958395
296,09-1985,32.265522,33.349064,23.020481,35.243023,6.513267,2.5521102
297,10-1985,27.91878,28.997417,18.497437,30.990898,6.692274,2.586943
298,11-1985,23.343988,24.323708,14.759905,26.04023,5.4774694,2.3403995
299,12-1985,17.647522,18.506208,9.485095,20.022911,4.4126654,2.1006346
300,01-1986,14.542136,15.53808,5.8198576,17.068972,4.7067485,2.1695042
301,02-1986,16.96451,18.000385,7.4435406,19.714975,5.748524,2.397608
302,03-1986,20.562721,21.47744,10.793322,23.778805,6.1415486,2.4782147
303,04-1986,27.13448,28.397278,15.84855,30.800879,9.568828,3.093352
304,05-1986,32.250607,33.758404,20.005106,36.184155,12.025852,3.4678311
305,06-1986,36.57251,38.034157,25.008492,40.15845,10.12622,3.182172
306,07-1986,32.523327,33.543983,23.834797,35.20051,5.752871,2.3985143
307,08-1986,31.28314,32.311172,23.226429,33.94781,5.2070336,2.2818925
308,09-1986,31.311634,32.37413,22.199821,34.243023,6.31541,2.513048
309,10-1986,29.387182,30.458954,19.980423,32.4034,6.652475,2.5792391
310,11-1986,22.988054,23.963648,14.276571,25.726166,5.6117144,2.3689058
311,12-1986,16.162104,17.042784,7.876241,18.614578,4.589558,2.1423254
312,01-1987,16.80915,17.81908,7.9073577,19.387201,4.892644,2.2119322
313,02-1987,18.984892,20.025967,9.146839,21.970879,6.2972374,2.5094297
314,03-1987,22.115015,23.002375,12.351655,25.277243,6.010701,2.451673
315,04-1987,27.98903,29.18515,16.686224,31.692547,9.637977,3.104509
316,05-1987,30.494213,32.01176,18.317606,34.384155,11.87063,3.445378
317,06-1987,35.912514,37.33587,24.33766,39.47095,10.0880995,3.1761768
318,07-1987,33.350025,34.49478,24.188444,36.17941,6.2762537,2.5052452
319,08-1987,33.144566,34.156654,25.034935,35.86361,5.33459,2.309673
320,09-1987,33.02952,34.08931,23.69583,36.133602,6.722272,2.5927343
321,10-1987,28.178051,29.255188,18.472437,31.469025,7.29839,2.7015533
322,11-1987,24.010866,25.01147,15.335252,26.655333,5.477218,2.3403456
323,12-1987,18.775541,19.705082,10.851762,21.071869,4.1344757,2.033341
324,01-1988,17.318073,18.30365,8.649024,19.856472,4.627712,2.1512117
325,02-1988,18.833261,19.812641,8.984513,21.834246,6.3218064,2.5143204
326,03-1988,21.145918,22.11499,11.109987,24.435402,6.5500684,2.5593102
327,04-1988,29.60514,30.842087,18.206882,33.310776,9.824546,3.1344132
328,05-1988,35.724735,37.199505,23.301113,39.71714,12.447114,3.5280468
329,06-1988,37.419907,38.87604,25.850159,40.97668,10.180977,3.1907642
330,07-1988,33.355927,34.360847,24.67247,35.979675,5.6507545,2.3771315
331,08-1988,31.399633,32.394806,23.297262,34.159443,5.4037776,2.3246026
332,09-1988,31.743263,32.831524,22.511974,34.754433,6.5906835,2.5672326
333,10-1988,28.750551,29.837677,19.056118,31.991419,7.294906,2.7009084
334,11-1988,24.773403,25.764534,16.230738,27.294395,5.297762,2.3016868
335,12-1988,18.510925,19.475965,10.418255,20.81041,4.260429,2.0640807
336,01-1989,15.227761,16.212982,6.30701,17.766369,4.918398,2.217746
337,02-1989,16.322184,17.327599,6.4258323,19.350914,6.4035454,2.5305228
338,03-1989,21.535673,22.47615,11.734988,24.772207,6.1261363,2.4751034
339,04-1989,26.455976,27.708244,15.119384,30.180046,9.710205,3.11612
340,05-1989,32.914772,34.399796,20.492605,36.91583,12.375557,3.517891
341,06-1989,36.225464,37.691666,24.599987,39.915222,10.346416,3.2165847
342,07-1989,32.191933,33.257072,23.30129,35.03087,5.9563513,2.4405637
343,08-1989,30.537691,31.585018,22.517921,33.151978,5.126728,2.2642279
344,09-1989,31.913925,32.98667,22.791315,34.836205,6.259254,2.5018501
345,10-1989,29.632566,30.715492,20.18077,32.704964,6.8182807,2.611184
346,11-1989,22.928228,23.915182,14.143759,25.713667,5.7081547,2.3891745
