,tmin_FileName,tmin_AverageValues,tmin_MedianValues,tmin_MinValues,tmin_MaxValues,tmin_Variance,tmin_StandardDeviation
0,01-1961,3.5688818,3.9408116,-2.3698158,5.3515205,1.3757778,1.1729356
1,02-1961,3.5014627,4.147435,-4.1759176,5.0961666,2.636834,1.6238331
2,03-1961,9.606311,10.297916,1.1725218,11.751247,3.6561692,1.9121112
3,04-1961,13.917492,14.778236,5.8521895,16.238865,3.9865487,1.9966344
4,05-1961,19.007034,20.036194,10.216407,21.547274,5.3451924,2.3119671
5,06-1961,22.821423,23.734165,14.6654625,25.42208,4.5264816,2.127553
6,07-1961,23.248419,24.234577,15.329043,25.815813,4.7872396,2.1879761
7,08-1961,22.374144,23.349308,14.784313,25.05157,4.677718,2.1628034
8,09-1961,20.867016,21.76305,13.382907,23.391056,4.202386,2.049972
9,10-1961,13.425385,13.974932,7.341679,15.48437,2.218078,1.4893212
10,11-1961,5.372384,5.610333,0.64699674,7.3646708,0.97134966,0.9855707
11,12-1961,1.859157,2.0578148,-3.021625,3.9146943,0.901168,0.9492987
12,01-1962,2.2637084,2.6395445,-3.7114825,4.041625,1.3992735,1.1829089
13,02-1962,5.8452473,6.439198,-1.7795635,7.513875,2.6113212,1.6159583
14,03-1962,9.451798,10.2354965,1.2351956,11.513747,3.4383156,1.8542696
15,04-1962,14.982109,15.840866,6.9938564,17.239733,3.857741,1.9641134
16,05-1962,18.721443,19.635075,9.828212,21.379044,5.4940166,2.343932
17,06-1962,22.82882,23.76233,14.506782,25.527113,4.7834544,2.187111
18,07-1962,23.482376,24.495485,15.57887,26.019981,4.737262,2.176525
19,08-1962,22.910463,23.888325,15.438132,25.378305,4.371214,2.0907447
20,09-1962,18.66424,19.56305,11.132733,21.187756,4.2642717,2.0650113
21,10-1962,13.351218,13.866236,7.412513,15.501038,2.0891912,1.4454035
22,11-1962,7.2261696,7.386425,2.5254688,9.585504,1.0152849,1.0076134
23,12-1962,2.5136013,2.7085168,-2.221625,4.518861,0.82979447,0.9109306
24,01-1963,2.7120416,3.0628333,-3.4251978,4.2036037,1.5019128,1.2255255
25,02-1963,7.1763234,7.8115034,-0.42574406,8.8446045,2.5949543,1.6108862
26,03-1963,9.586554,10.334852,1.3473485,11.596212,3.4110227,1.8468955
27,04-1963,13.522874,14.336229,5.5938563,15.794767,3.854514,1.9632916
28,05-1963,17.040194,18.112026,8.258073,19.568974,5.319321,2.3063653
29,06-1963,23.62014,24.530367,15.336295,26.347946,4.7720184,2.184495
30,07-1963,23.981264,24.95611,15.816196,26.619982,5.0832276,2.2546015
31,08-1963,22.661333,23.593182,15.125632,25.35157,4.631244,2.1520326
32,09-1963,19.277573,20.149979,11.620233,21.938625,4.425184,2.1036122
33,10-1963,14.801461,15.31427,8.712859,16.974476,2.3107877,1.5201275
34,11-1963,7.74978,7.959318,2.9716494,9.849566,1.0364138,1.0180441
35,12-1963,3.0763793,3.2310371,-1.5759654,5.4287567,0.8433028,0.9183152
36,01-1964,0.4886736,0.80524266,-5.1989827,2.247354,1.2108455,1.1003842
37,02-1964,4.305455,4.8991547,-3.220883,5.8446045,2.4636877,1.5696138
38,03-1964,10.875513,11.645203,2.3846748,12.975379,3.6637998,1.9141054
39,04-1964,14.497041,15.35257,6.3521895,16.915602,4.1820526,2.0450068
